t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
754741679.995,754743383.995,754742542.2070165,754741685.255,754743381.735,0.042471087607195694,0.01461626433720524,8.749044047082313e-18,3.0109504534642793e-18,23.509766543440676,0.32111628913364854,0.45798243820030393,,,,,,,,0.1850808291458106,0.010984622451978072,3.812665080403698e-17,2.262832225107483e-18,21.9115964089169,0.06259909397502028,0.0664303196637519,243.0,283.8916400574333,1277.0,1093.7306040937542,1533.8792319423717,218.74612081875077,,0.8561355039566934,450.22894287109375,418.15631103515625,53.409721328171486,54.712107749278644,-35.57502794867988,16.164609909057617,0.0
784344665.995,784345286.995,784344978.6652193,784344666.86,784345281.11,0.03380021915184103,0.026890291823327868,6.962845145279252e-18,5.53940011560554e-18,23.75770120965152,0.6355031946185044,1.7236150905062146,,,,,,,,0.2185320442632883,0.019795132957012886,4.5017601118237385e-17,4.0777973891446546e-18,21.73121217904116,0.0941461019847516,0.1030914812179411,114.0,121.87465815539986,549.0,515.1218923471846,557.696966439232,103.02437846943688,,0.9355398687304554,224.1905517578125,685.5208129882812,335.30746597818467,54.71206880647005,-35.57491075165179,8.368420600891113,32.0
784373195.995,784374899.995,784374065.7182841,784373204.71,784374894.095,0.027927384848884074,0.01523826167406394,5.753041278870119e-18,3.1390819048571715e-18,23.964924325523135,0.4727699506152483,0.8564966415989801,,,,,,,,0.1924224273415419,0.011188693283696852,3.963902003235763e-17,2.3048708164415513e-18,21.86936077795136,0.061364513369110085,0.06504162567791383,271.0,295.76899136221834,1380.0,1264.2115961821441,1537.0816980561237,252.84231923642875,,0.9164981927343143,646.24462890625,244.9208984375,291.00849645089227,54.71205727265762,-35.57497171293163,10.977859497070312,32.0
784379111.995,784380816.995,784379989.2562852,784379116.57,784380801.41,0.00703160149621811,0.016127603538189365,1.4485099082209307e-18,3.322286328867009e-18,25.462364375302705,1.2941734944723358,,,,,,,,,0.18567003027572304,0.011513466856380567,3.8248026236798946e-17,2.3717741724143966e-18,21.908145479426494,0.06532189127958077,0.06950490479530558,249.0,260.0586994083152,1305.0,1251.049439259378,1400.6498465160141,250.20988785187552,,0.9577047088660332,694.8128662109375,361.0874328613281,297.36982692403376,54.71204803484232,-35.57507216157392,10.10441780090332,32.0
784414814.995,784416316.995,784415599.8605348,784414823.315,784416307.855,-0.0008286277981363896,0.015274702149395613,-1.7069732641609625e-19,3.1465886427754962e-18,,,,,,,,,,,0.15517007144567233,0.01078645481195058,3.19650347178085e-17,2.2220096912618196e-18,22.102980099759595,0.07296593914966465,0.07822510983709208,187.0,206.94667993949201,1151.0,1040.2590068629484,1333.6765138498215,208.0518013725896,,0.9038056390637278,631.0835571289062,209.6029815673828,299.41715883258735,54.71202171643908,-35.57501368381476,10.748662948608398,32.0
784432899.995,784434066.995,784433428.1113018,784432914.72,784434060.855,-0.0044306481026418175,0.01854675388139391,-9.127135091442144e-19,3.820631299567145e-18,,,,0.06895710519866619,0.01647991023975072,1.4205163670925232e-17,3.3948615093886483e-18,22.98355244592506,0.23266761789885138,0.29652102199845487,0.17213510217638708,0.013030951402493779,3.545983104833574e-17,2.684375988913718e-18,21.990326395839475,0.07922982234842735,0.08546982954621996,169.0,174.4964648949101,925.0,894.9394648639674,1013.7180777695379,178.98789297279342,104.59340076436641,0.9687057722991262,700.455322265625,433.1463623046875,302.2781533815737,54.712093374433884,-35.57491735672322,9.852070808410645,32.0
784532945.995,784534651.995,784533813.0302198,784532946.435,784534651.45,-7.404528436792739e-05,0.01583030291198108,-1.525332857979304e-20,3.261042399868102e-18,,,,,,,,,,,0.1889246134322401,0.011192617909439321,3.891847036704146e-17,2.3056792893445e-18,21.889278644350387,0.062489858624712014,0.06630731303305382,273.0,284.91395944383424,1489.0,1425.1281293169366,1508.0827969830505,285.02562586338723,,0.9583596173898639,640.0112915039062,585.8369750976562,303.5470331971966,54.712115329095525,-35.574969287208596,9.40293025970459,32.0
784580280.995,784581985.995,784581142.9902942,784580282.585,784581982.71,0.005537954251869329,0.015237743435086474,1.1408185758850816e-18,3.1389751476278133e-18,25.72162659052756,1.4355156333414918,,,,,,,,,0.1795405326748687,0.010858772187564822,3.698534973102295e-17,2.2369070706383534e-18,21.94459372662972,0.06375712279392332,0.06773596091000655,255.0,273.3780081440731,1420.0,1324.728115498982,1522.6534313515454,264.94562309979636,,0.9331019029779849,680.0941162109375,290.30999755859375,300.806599946846,54.71215618340397,-35.57497728779553,10.149019241333008,32.0
784586231.995,784587902.995,784587080.9016008,784586234.675,784587898.625,-0.0009655982475153369,0.016053700184212434,-1.989132389881594e-19,3.3070622379477614e-18,,,,,,,,,,,0.19229137395164173,0.011337456321972549,3.9612023034038197e-17,2.335516002326345e-18,21.870100493631934,0.06219865989510964,0.06597953145011815,278.0,287.6658785926007,1494.0,1445.5520172162587,1495.9895115469099,289.1104034432517,,0.9665326116810457,669.5870971679688,529.3500366210938,299.0127671744638,54.71221032678106,-35.574989790210715,9.80215835571289,32.0
784598400.995,784599735.995,784599073.8664551,784598406.055,784599732.4,0.0019478688938042335,0.01688682935314316,4.012609921236721e-19,3.4786868467474904e-18,26.85610069437955,2.463497361151788,,,,,,,,,0.170724641700379,0.011974997340842607,3.516927619027807e-17,2.466849452213577e-18,21.9992594751549,0.0736036984546864,0.07895862226363093,189.0,203.2551547693444,1079.0,1004.6806581815974,1190.5437477857256,200.93613163631946,,0.9302904298242147,671.5661010742188,296.4327392578125,290.64467094769356,54.71201315242012,-35.57511436083217,10.492063522338867,32.0
784603948.995,784605652.995,784604770.6514795,784603957.895,784605642.435,0.018249541061984734,0.015923805529891016,3.759405458768855e-18,3.280303939157549e-18,24.426870131683657,0.6810889099079986,2.236729048356864,,,,,,,,0.20149894257573264,0.01152377767919028,4.150878217060092e-17,2.3738982019131976e-18,21.819318071508533,0.060382887090320025,0.06393985312727324,294.0,305.74249165052197,1443.0,1390.2586260774704,1517.340427409984,278.051725215494,,0.9618372677105718,610.8245239257812,602.7756958007812,292.5148931183219,54.712137635372315,-35.57503895340792,10.183673858642578,97.0
785012225.995,785013920.995,785013105.3608949,785012232.35,785013915.45,-0.01338819776530397,0.015546438039775621,-2.757968739652618e-18,3.202566236193778e-18,,,,,,,,,,,0.1766210178667227,0.010790410186188667,3.638392968054488e-17,2.2228244983548654e-18,21.962394041811105,0.06438421668827843,0.06844422769622582,257.0,267.92229708281724,1504.0,1441.1564980746411,1516.9332637692644,288.23129961492816,,0.9593987110826895,707.4697875976562,392.9933776855469,307.5496106998109,54.712068736555715,-35.574949414773734,9.521400451660156,32.0
786219249.995,786220898.995,786220065.2501742,786219250.785,786220898.33,0.027003232478442288,0.015972223622333453,5.562665890559111e-18,3.290278066200691e-18,24.001460611498665,0.5045118479329815,0.9720013053598073,,,,,,,,0.20335153925569374,0.01168877243388131,4.189041708667291e-17,2.4078871213795495e-18,21.809381339710765,0.060681041863524854,0.06427427708167954,287.0,302.6614589141707,1382.0,1312.3538676325074,1488.365713984613,262.47077352650143,,0.9484008554009911,709.8116455078125,359.6836242675781,312.42385607449427,54.7121087448282,-35.57498679341642,9.780488014221191,32.0
786225167.995,786226813.995,786226000.5704417,786225182.23,786226809.895,-0.018161874060686388,0.016340716831675366,-3.741346056501396e-18,3.3661876673251254e-18,,,,,,,,,,,0.18933718108583045,0.011287126610257204,3.900345930368107e-17,2.325148081712984e-18,21.886910232723668,0.06286911050055366,0.06673449006254017,283.0,281.3876422413008,1532.0,1541.896566752721,1486.1721328455924,308.3793133505441,,1.0058710517192444,143.175048828125,607.0462646484375,329.88969557915385,54.71204167871166,-35.57499887513145,9.014134407043457,32.0
787320430.995,787321489.995,787320960.1209638,787320433.185,787321487.995,0.05960788789254111,0.019816326369718168,1.2279224905863467e-17,4.0821632321619424e-18,23.141740666021235,0.31162298371622654,0.43878187820635617,,,,,,,,0.21199877514162688,0.015114952905882863,4.367174767917514e-17,3.1136802986118695e-18,21.764166620682474,0.07477508629663276,0.08030829926164529,166.0,196.72207956233495,839.0,707.0477701100415,927.9396988539852,141.40955402200825,,0.8441630959870574,458.4929504394531,101.91343688964844,303.77133564254206,54.71195253698198,-35.57497736766723,10.548192977905273,32.0
848459448.995,848459744.995,848459593.5759091,848459449.31,848459744.76,0.09449481051232943,0.04017526232556751,1.9465930965539862e-17,8.276104039066906e-18,22.64148010379945,0.384657841336125,0.6011295238005587,,,,,,,,0.2632184288609121,0.031362027138064276,5.42229963453479e-17,6.460577590441241e-18,21.529209268720273,0.12221909398411768,0.13774300232487136,66.0,70.44080856839155,241.0,225.76360159301512,267.61351351129497,45.152720318603016,,0.9371782827945997,673.7254638671875,511.5618591308594,295.5870057733267,54.712033657562365,-35.57500134862224,9.333333015441895,32.0
848471287.995,848472346.995,848471822.0548944,848471311.25,848472345.375,0.005188437935469615,0.020796693157085273,1.0688182147067406e-18,4.284118790359566e-18,25.79240843491489,1.749220715263462,,,,,,,,,0.1826288220929716,0.01481105356048665,3.762153735115215e-17,3.0510770334602498e-18,21.926076704899184,0.0846638769916126,0.09182844011658275,142.0,152.04310536646094,789.0,738.6179989429678,832.5252477895287,147.7235997885935,,0.9340887143631512,673.626708984375,501.5671081542969,291.8688975009953,54.712117107820404,-35.5750617812204,8.704225540161133,32.0
848477207.995,848478575.995,848477885.3342627,848477213.47,848478571.835,0.01030316280636572,0.017291115751654304,2.122451538111338e-18,3.561969844840787e-18,25.047573593940452,1.0696212041521527,,,,,,,,,0.18851638636466583,0.012397227842602321,3.883437559112116e-17,2.5538289355760783e-18,21.891627234355674,0.06915064982964836,0.07385626119118172,217.0,231.2325915508331,1164.0,1092.974099670563,1226.5914704281308,218.59481993411254,,0.9386329327479201,691.8108520507812,476.55889892578125,301.6866559517191,54.71210003220786,-35.57509771942214,8.880184173583984,32.0
848494967.995,848496323.995,848495658.1596808,848494978.635,848496323.41,0.026817963581425425,0.01823146724067952,5.524500497773637e-18,3.755682251579981e-18,24.008935508318388,0.5631587789379147,1.236524518739543,,,,,,,,0.2103753723490076,0.013323183491291087,4.3337326703895564e-17,2.744575799205964e-18,21.772512755865,0.06667070680155263,0.07103408569516034,235.0,249.32956363250793,1155.0,1087.729236519425,1185.1651685677175,217.54584730388495,,0.9428502861941619,109.14559173583984,426.7752685546875,292.08423752895396,54.7121028385375,-35.5749135649646,8.31489372253418,32.0
848524568.995,848524651.995,848524620.2803572,848524583.225,848524644.145,0.0734179644398626,0.0689702644158212,1.5124100674611697e-17,1.4207874469659168e-17,22.915494151895196,0.7191793717356845,3.04416712688154,,,,,,,,0.2139787301617415,0.05358150186356621,4.4079618413318745e-17,1.1037789383894638e-17,21.75407348523072,0.24262739497118346,0.3129343665137583,14.0,15.948191681111313,60.0,52.38114164155159,74.5316680263335,10.476228328310315,,0.8780167698002395,625.7323608398438,202.70558166503906,299.80024388992746,54.71217637887641,-35.57505160850577,11.785714149475098,32.0
848548249.995,848548604.995,848548428.4869388,848548259.405,848548596.06,-0.015825321747858348,0.03350029674858855,-3.2600162800588196e-18,6.9010611302092416e-18,,,,,,,,,,,0.16793972221680925,0.023149213611542447,3.4595582776662706e-17,4.768738003977744e-18,22.017116423752086,0.14020527838856722,0.1610333420968395,49.0,52.63012192465664,309.0,287.9478583650506,313.3869773626959,57.589571673010106,,0.9312210701088374,277.2156066894531,675.3409423828125,301.47743164770117,54.712023851449906,-35.5750019579418,8.63265323638916,32.0
848560090.995,848561232.995,848560653.1521912,848560096.15,848561230.08,0.015051811970438048,0.018789772136864797,3.1006732659102378e-18,3.870693060194148e-18,24.63602803898023,0.8796547488455673,,,,,,,,,0.18689971909839345,0.013562236698079733,3.850134213426905e-17,2.7938207598044248e-18,21.900978378362836,0.07605828639682954,0.08179041047438673,178.0,189.91298407935471,932.0,873.0925067169447,1016.1223622780028,174.61850134338889,,0.9374360526314339,659.4134521484375,559.4057006835938,304.47580620797635,54.71203666425222,-35.57510270106753,8.32584285736084,32.0
848566010.995,848567315.995,848566668.4195455,848566023.955,848567314.275,0.03331939583634083,0.017417821508014728,6.863795542286211e-18,3.588071230651034e-18,23.773257205087056,0.45657381731068014,0.8031424859580696,0.08113917224603323,0.01619440756761676,1.6714669482682846e-17,3.3360479589290523e-18,22.80692356783058,0.19758030909354574,0.24171606338947882,0.1930580312357419,0.012884736330641204,3.976995443456283e-17,2.654255684112088e-18,21.8657803174125,0.07014667921468032,0.07499363072493992,198.0,224.5043057183661,1052.0,928.7883857302703,1162.8850883920254,185.75767714605402,130.14877222898198,0.8821412717482946,652.959228515625,228.2184295654297,305.7732480649467,54.71206650928579,-35.575066923997426,9.38888931274414,32.0
848589693.995,848590981.995,848590344.6322464,848589695.425,848590978.815,0.011291006833693886,0.01808023041259479,2.3259474077409403e-18,3.724527464994527e-18,24.948168324367995,1.0379739276445612,,,,,,,,,0.1928222353171931,0.012976022484830683,3.972138047534178e-17,2.6730606318751206e-18,21.867107217074167,0.07071145181160787,0.07563954052705668,207.0,220.81625879188306,1111.0,1039.4300911842665,1145.1804737593654,207.88601823685326,,0.9376356388762483,102.77359008789062,406.594970703125,297.2995667467687,54.7121544852369,-35.57503936007998,8.222222328186035,32.0
848595614.995,848596898.995,848596246.4481795,848595628.92,848596897.57,0.0048276739979549515,0.018607275661284298,9.9450084357872e-19,3.8330987862245654e-18,25.87065516130285,1.7153152236692506,,,,,,,,,0.19055471430020834,0.01324146570945468,3.9254271145842915e-17,2.727741936147664e-18,21.879950755917015,0.0729408540592722,0.07819627740310153,195.0,207.0938847542867,1074.0,1009.235967248583,1086.7948636947488,201.84719344971657,,0.9417795467241545,693.9453735351562,439.3749694824219,296.57085299210405,54.712132392385854,-35.57503357755627,8.728204727172852,32.0
