Name,Band,Max Sigma
ESSENCEm043,NUV,12.9864435
ESSENCEn263,NUV,60.47014165
ESSENCEn278,NUV,10.47260717
PSc080064,NUV,20.48725282
PSc080438,NUV,5.466033266
PSc150210,NUV,16.40697226
SDSS-II SN 10450,FUV,56.77421169
SDSS-II SN 12213,NUV,5.808565398
SDSS-II SN 13479,NUV,1384.551922
SDSS-II SN 13615,FUV,14.5096636
SDSS-II SN 13777,NUV,7.171240654
SDSS-II SN 13867,NUV,6.464019288
SDSS-II SN 14317,NUV,9.981021383
SDSS-II SN 14403,NUV,6.667306278
SDSS-II SN 14784,FUV,14.25097459
SDSS-II SN 14858,NUV,38.59129246
SDSS-II SN 14916,NUV,5.791120643
SDSS-II SN 14972,NUV,25.02206411
SDSS-II SN 15008,FUV,18.26866145
SDSS-II SN 15255,NUV,5.810157447
SDSS-II SN 15944,NUV,27.8550631
SDSS-II SN 16199,NUV,29.51473047
SDSS-II SN 16472,NUV,11.35512119
SDSS-II SN 17957,NUV,11.97524941
SDSS-II SN 1835,NUV,7.376819414
SDSS-II SN 18993,NUV,109.8471117
SDSS-II SN 19140,NUV,9.413000969
SDSS-II SN 19778,FUV,569.9260124
SDSS-II SN 19778,NUV,40.07670427
SDSS-II SN 1978,NUV,3.2443479
SDSS-II SN 20043,NUV,6.657469799
SDSS-II SN 20323,FUV,177.7305215
SDSS-II SN 20408,NUV,7.951871508
SDSS-II SN 20435,NUV,3.484012234
SDSS-II SN 20545,FUV,26.25014665
SDSS-II SN 20709,FUV,14.09281072
SDSS-II SN 20709,NUV,5.990713917
SDSS-II SN 20721,FUV,30.87103402
SDSS-II SN 20750,NUV,26.06153259
SDSS-II SN 21060,FUV,4.938814059
SDSS-II SN 21060,NUV,7.528319743
SDSS-II SN 21482,FUV,13.30242774
SDSS-II SN 2621,NUV,9.89537178
SDSS-II SN 2784,NUV,16.48385742
SDSS-II SN 3402,NUV,7.849123136
SDSS-II SN 3421,FUV,6.317587452
SDSS-II SN 3421,NUV,10.43446012
SDSS-II SN 4206,FUV,30.15123164
SDSS-II SN 4236,FUV,10.99242969
SDSS-II SN 4857,NUV,9.349868653
SDSS-II SN 5486,NUV,24.57502426
SDSS-II SN 5890,NUV,8.15296924
SDSS-II SN 6709,FUV,16.16493882
SDSS-II SN 6896,FUV,15.77880518
SDSS-II SN 7373,FUV,5.706671024
SDSS-II SN 8307,NUV,6.61211942
SDSS-II SN 9326,NUV,10.98485491
SDSS-II SN 9954,FUV,8.115193031
SN2005fe,NUV,8.406026229
SN2005gc,NUV,6.789723867
SN2005gf,NUV,4.734721979
SN2005hj,FUV,31.68349325
SN2005hv,NUV,8.410322853
SN2005id,NUV,17.89796743
SN2005ix,NUV,9.491855475
SN2005jw,NUV,14.61045071
SN2006ex,NUV,9.14180485
SN2006ff,NUV,15.0274894
SN2006ll,NUV,5.1939044
SN2006lo,FUV,9.566839263
SN2006pi,NUV,19.00810839
SN2006py,FUV,12.55130874
SN2006sz,FUV,16.17290818
SN2007fr,NUV,10.33399654
SN2007ie,NUV,5.844765291
SN2007kr,FUV,12.92894067
SN2007kx,NUV,13.82303006
SN2007mc,FUV,17.86836402
SN2007mf,FUV,11.96428773
SN2007mv,NUV,105.4558145
SN2007on,NUV,238.9996824
SN2007pt,NUV,16.96915539
SN2007qi,NUV,10.0519099
SN2007ql,FUV,4.526716247
SN2007ql,NUV,4.248772629
SN2007qy,NUV,165.3445804
SN2007sn,NUV,20.09158511
SN2007tv,NUV,3068.476186
SN2008hv,NUV,11.50888192
SN2009L,FUV,9.619455189
SN2009L,NUV,14.23000483
SN2010ai,NUV,21.85197712
SNLS-03D1fc,NUV,6.577239425
SNLS-04D2bt,FUV,11.55248155
SNLS-04D2fs,NUV,4.270548802
SNLS-04D2gb,NUV,6.086582076
SNLS-05D1by,NUV,5.893480772
SNLS-05D1ej,NUV,3.520014857
SNLS-05D2ac,FUV,9.15011886
SNLS-05D2ja,NUV,7.782940365
SNLS-05D3ne,NUV,4.547130358
SNLS-05D4af,NUV,4.734742272
SNLS-05D4ay,FUV,11.90658732
SNLS-05D4ff,NUV,5.401426245
SNLS-06D2ag,NUV,7.088405403
SNLS-06D2ff,FUV,3.778369667
SNLS-06D2ff,NUV,5.518458396
SNLS-06D3df,NUV,6.112869528
Yowie,NUV,4.776983233
